ORIGINAL PLAN,,,,,,,,,,,,,DOM'S PLAN FOR AMAZON & DTC + ORIGINAL PLAN FOR OTHER CHANNELS,,,,,,,,,,,,input
BF Multi + High B1,,,,,,,,,,,,,BF Multi + High B1,,,,,,,,,,,,margins
MSRP Year 1:,$22.99,3-Year Summary,,,,,,,,,,,Amazon,,DTC,,3-Year Summary,,,,,,,,Dom's data
MSRP Year 2:,$22.99, ,Year 1,Year 2,Year 3,,,,,,,,Amazon Price Year 1:,$13.33,MSRP Year 1:,$22.99, ,Year 1,Year 2,Year 3,,,,,
MSRP Year 3:,$22.99,Units Sold,"9,500","12,350","13,585",,,,,,,,Amazon Price Year 2:,$13.33,MSRP Year 2:,$22.99,Units Sold,"7,475","8,758","9,921",,,,,
Estimated COGS Year 1:,$4.00,Average selling price ,$21.09,$21.09,$21.09,,,,,,,,Amazon Price Year 3:,$13.33,MSRP Year 3:,$22.99,Average selling price ,$20.57,$20.31,$20.38,,,,,
Estimated COGS Year 1:,$4.00,Total Revenue,"$200,321","$260,417","$286,459",,,,,,,,Estimated COGS Year 1:,$4.00,Estimated COGS Year 1:,$4.00,Total Revenue,"$153,766","$177,826","$202,218",,,,,
Estimated COGS Year 1:,$4.00,Total COGS,"$38,000","$49,400","$54,340",,,,,,,,Estimated COGS Year 2:,$4.00,Estimated COGS Year 2:,$4.00,Total COGS,"$29,900","$35,030","$39,683",,,,,
Year 1 Units Sold:,9500,Gross Margin ($),"$162,321","$211,017","$232,119",,,,,,,,Estimated COGS Year 3:,$4.00,Estimated COGS Year 3:,$4.00,Gross Margin ($),"$123,866","$142,796","$162,535",,,,,
Year 2 Units Sold:,12350,Gross Margin (%),81.0%,81.0%,81.0%,,,,,,,,Year 1 Units Sold:,5000,Year 1 Units Sold:,1050,Gross Margin (%),80.6%,80.3%,80.4%,,,,,
Year 3 Units Sold:,13585,,,,,,,,,,,,Year 2 Units Sold:,5750,Year 2 Units Sold:,1155,,,,,,,,,
%age Growth in Year 2:,30%,,,,,,,,,,,,Year 3 Units Sold:,6613,Year 3 Units Sold:,1271,,,,,,,,,
%age Growth in Year 3:,10%,,,,,,,,,,,,%age Growth in Year 2:,15%,%age Growth in Year 2:,10%,,,,,,,,,
,,,,,,,,,,,,,%age Growth in Year 3:,15%,%age Growth in Year 3:,10%,,,,,,,,,
Channel,% Weighted Volume,"Sale Price 
(% of MSRP)","Sale Price  ($)
Year 1",Units Y1,Revenue Y1,"Sale Price  ($)
Year 2",Units Y2,Revenue Y2,"Sale Price  ($)
Year 3",Units Y3,Revenue Y3,,Channel,% Weighted Volume,"Sale Price 
(% of MSRP)","Sale Price  ($)
Year 1",Units Y1,Revenue Y1,"Sale Price  ($)
Year 2",Units Y2,Revenue Y2,"Sale Price  ($)
Year 3",Units Y3,Revenue Y3,
Fullscripts,9.0%,38.0%,$8.74,855,"$7,469",$8.74,"1,112","$9,710",$8.74,"1,223","$10,681",,Fullscripts,9.0%,38.0%,$8.74,855,"$7,469",$8.74,"1,112","$9,710",$8.74,"1,223","$10,681",
Amazon,60.0%,100.0%,$22.99,"5,700","$131,043",$22.99,"7,410","$170,356",$22.99,"8,151","$187,391",,Amazon,60.0%,100.0%,$22.99,"5,000","$114,950",$22.99,"5,750","$132,193",$22.99,"6,613","$152,021",
DTC,25.0%,100.0%,$22.99,"2,375","$54,601",$22.99,"3,088","$70,982",$22.99,"3,396","$78,080",,DTC,25.0%,100.0%,$22.99,"1,050","$24,140",$22.99,"1,155","$26,553",$22.99,"1,271","$29,209",
iHerb,1.0%,55.0%,$12.64,95,"$1,201",$12.64,124,"$1,562",$12.64,136,"$1,718",,iHerb,1.0%,55.0%,$12.64,95,"$1,201",$12.64,124,"$1,562",$12.64,136,"$1,718",
Domestic Wholesaler,5.0%,55.0%,$12.64,475,"$6,006",$12.64,618,"$7,808",$12.64,679,"$8,589",,Domestic Wholesaler,5.0%,55.0%,$12.64,475,"$6,006",$12.64,618,"$7,808",$12.64,679,"$8,589",
Any Other,,55.0%,$12.64,0,$0,$12.64,0,$0,$12.64,0,$0,,Any Other,,55.0%,$12.64,0,$0,$12.64,0,$0,$12.64,0,$0,
TOTAL,100.0%,,,"9,500","200,321",,"12,350","260,417",,"13,585","286,459",,TOTAL,100.0%,,,"7,475","153,766",,"8,758","177,826",,"9,921","202,218",
